,date,home_team,away_team,home_score,away_score,tournament,delta_goal,win,lose
391,2019-08-27,Saint Kitts and Nevis,Antigua and Barbuda,4,3,Friendly,1,1,0
392,2019-08-28,Belize,Saint Vincent and the Grenadines,1,1,Friendly,0,0,1
393,2019-08-28,Taiwan,Guam,3,0,Friendly,3,1,0
394,2019-08-29,United Arab Emirates,Dominican Republic,4,0,Friendly,4,1,0
395,2019-08-30,Belize,Saint Vincent and the Grenadines,1,0,Friendly,1,1,0
396,2019-08-30,China PR,Myanmar,4,1,Friendly,3,1,0
397,2019-08-30,Malaysia,Jordan,0,1,Friendly,-1,0,1
398,2019-08-31,United Arab Emirates,Sri Lanka,5,1,Friendly,4,1,0
399,2019-09-04,Libya,Burkina Faso,0,1,Friendly,-1,0,1
400,2019-09-04,Burundi,Tanzania,1,1,FIFA World Cup qualification,0,0,1
401,2019-09-04,Djibouti,Eswatini,2,1,FIFA World Cup qualification,1,1,0
402,2019-09-04,Eritrea,Namibia,1,2,FIFA World Cup qualification,-1,0,1
404,2019-09-04,Liberia,Sierra Leone,3,1,FIFA World Cup qualification,2,1,0
405,2019-09-04,Mauritius,Mozambique,0,1,FIFA World Cup qualification,-1,0,1
406,2019-09-04,São Tomé and Príncipe,Guinea-Bissau,0,1,FIFA World Cup qualification,-1,0,1
407,2019-09-04,South Sudan,Equatorial Guinea,1,1,FIFA World Cup qualification,0,0,1
409,2019-09-05,Honduras,Puerto Rico,4,0,Friendly,4,1,0
410,2019-09-05,South Korea,Georgia,2,2,Friendly,0,0,1
411,2019-09-05,Montenegro,Hungary,2,1,Friendly,1,1,0
412,2019-09-05,Northern Ireland,Luxembourg,1,0,Friendly,1,1,0
413,2019-09-05,Peru,Ecuador,0,1,Friendly,-1,0,1
414,2019-09-05,Saudi Arabia,Mali,1,1,Friendly,0,0,1
415,2019-09-05,Republic of Ireland,Switzerland,1,1,UEFA Euro qualification,0,0,1
416,2019-09-05,Gibraltar,Denmark,0,6,UEFA Euro qualification,-6,0,1
417,2019-09-05,Faroe Islands,Sweden,0,4,UEFA Euro qualification,-4,0,1
418,2019-09-05,Norway,Malta,2,0,UEFA Euro qualification,2,1,0
419,2019-09-05,Romania,Spain,1,2,UEFA Euro qualification,-1,0,1
420,2019-09-05,Israel,North Macedonia,1,1,UEFA Euro qualification,0,0,1
421,2019-09-05,Armenia,Italy,1,3,UEFA Euro qualification,-2,0,1
422,2019-09-05,Bosnia and Herzegovina,Liechtenstein,5,0,UEFA Euro qualification,5,1,0
423,2019-09-05,Finland,Greece,1,0,UEFA Euro qualification,1,1,0
424,2019-09-05,Guam,Maldives,0,1,FIFA World Cup qualification,-1,0,1
425,2019-09-05,Philippines,Syria,2,5,FIFA World Cup qualification,-3,0,1
426,2019-09-05,Taiwan,Jordan,1,2,FIFA World Cup qualification,-1,0,1
427,2019-09-05,Kuwait,Nepal,7,0,FIFA World Cup qualification,7,1,0
428,2019-09-05,Cambodia,Hong Kong,1,1,FIFA World Cup qualification,0,0,1
429,2019-09-05,Bahrain,Iraq,1,1,FIFA World Cup qualification,0,0,1
430,2019-09-05,Palestine,Uzbekistan,2,0,FIFA World Cup qualification,2,1,0
431,2019-09-05,Singapore,Yemen,2,2,FIFA World Cup qualification,0,0,1
432,2019-09-05,India,Oman,1,2,FIFA World Cup qualification,-1,0,1
433,2019-09-05,Qatar,Afghanistan,6,0,FIFA World Cup qualification,6,1,0
434,2019-09-05,Mongolia,Myanmar,1,0,FIFA World Cup qualification,1,1,0
435,2019-09-05,Tajikistan,Kyrgyzstan,1,0,FIFA World Cup qualification,1,1,0
437,2019-09-05,Indonesia,Malaysia,2,3,FIFA World Cup qualification,-1,0,1
438,2019-09-05,North Korea,Lebanon,2,0,FIFA World Cup qualification,2,1,0
439,2019-09-05,Sri Lanka,Turkmenistan,0,2,FIFA World Cup qualification,-2,0,1
440,2019-09-05,Chad,Sudan,1,3,FIFA World Cup qualification,-2,0,1
441,2019-09-05,Seychelles,Rwanda,0,3,FIFA World Cup qualification,-3,0,1
442,2019-09-05,Somalia,Zimbabwe,1,0,FIFA World Cup qualification,1,1,0
443,2019-09-06,Brazil,Colombia,2,2,Friendly,0,0,1
444,2019-09-06,Costa Rica,Uruguay,1,2,Friendly,-1,0,1
445,2019-09-06,Ivory Coast,Benin,1,2,Friendly,-1,0,1
446,2019-09-06,Morocco,Burkina Faso,1,1,Friendly,0,0,1
447,2019-09-06,Tunisia,Mauritania,1,0,Friendly,1,1,0
448,2019-09-06,United States,Mexico,0,3,Friendly,-3,0,1
449,2019-09-06,Estonia,Belarus,1,2,UEFA Euro qualification,-1,0,1
450,2019-09-06,Germany,Netherlands,2,4,UEFA Euro qualification,-2,0,1
451,2019-09-06,Wales,Azerbaijan,2,1,UEFA Euro qualification,1,1,0
452,2019-09-06,Slovakia,Croatia,0,4,UEFA Euro qualification,-4,0,1
453,2019-09-06,Austria,Latvia,6,0,UEFA Euro qualification,6,1,0
454,2019-09-06,Slovenia,Poland,2,0,UEFA Euro qualification,2,1,0
455,2019-09-06,Cyprus,Kazakhstan,1,1,UEFA Euro qualification,0,0,1
456,2019-09-06,Scotland,Russia,1,2,UEFA Euro qualification,-1,0,1
457,2019-09-06,San Marino,Belgium,0,4,UEFA Euro qualification,-4,0,1
458,2019-09-06,Comoros,Togo,1,1,FIFA World Cup qualification,0,0,1
459,2019-09-06,Gambia,Angola,0,1,FIFA World Cup qualification,-1,0,1
460,2019-09-07,Libya,Niger,2,0,Friendly,2,1,0
461,2019-09-07,Kosovo,Czech Republic,2,1,UEFA Euro qualification,1,1,0
462,2019-09-07,England,Bulgaria,4,0,UEFA Euro qualification,4,1,0
463,2019-09-07,Lithuania,Ukraine,0,3,UEFA Euro qualification,-3,0,1
464,2019-09-07,Serbia,Portugal,2,4,UEFA Euro qualification,-2,0,1
465,2019-09-07,Iceland,Moldova,3,0,UEFA Euro qualification,3,1,0
466,2019-09-07,France,Albania,4,1,UEFA Euro qualification,3,1,0
467,2019-09-07,Turkey,Andorra,1,0,UEFA Euro qualification,1,1,0
469,2019-09-08,Kenya,Uganda,1,1,Friendly,0,0,1
470,2019-09-08,Switzerland,Gibraltar,4,0,UEFA Euro qualification,4,1,0
472,2019-09-08,Romania,Malta,1,0,UEFA Euro qualification,1,1,0
473,2019-09-08,Spain,Faroe Islands,4,0,UEFA Euro qualification,4,1,0
474,2019-09-08,Sweden,Norway,1,1,UEFA Euro qualification,0,0,1
475,2019-09-08,Armenia,Bosnia and Herzegovina,4,2,UEFA Euro qualification,2,1,0
476,2019-09-08,Finland,Italy,1,2,UEFA Euro qualification,-1,0,1
477,2019-09-08,Greece,Liechtenstein,1,1,UEFA Euro qualification,0,0,1
478,2019-09-08,Equatorial Guinea,South Sudan,1,0,FIFA World Cup qualification,1,1,0
479,2019-09-08,Lesotho,Ethiopia,1,1,FIFA World Cup qualification,0,0,1
480,2019-09-08,Sierra Leone,Liberia,1,0,FIFA World Cup qualification,1,1,0
481,2019-09-08,Tanzania,Burundi,1,1,FIFA World Cup qualification,0,0,1
482,2019-09-09,Algeria,Benin,1,0,Friendly,1,1,0
484,2019-09-09,Wales,Belarus,1,0,Friendly,1,1,0
485,2019-09-09,Northern Ireland,Germany,0,2,UEFA Euro qualification,-2,0,1
486,2019-09-09,Estonia,Netherlands,0,4,UEFA Euro qualification,-4,0,1
487,2019-09-09,Azerbaijan,Croatia,1,1,UEFA Euro qualification,0,0,1
488,2019-09-09,Hungary,Slovakia,1,2,UEFA Euro qualification,-1,0,1
490,2019-09-09,Slovenia,Israel,3,2,UEFA Euro qualification,1,1,0
491,2019-09-09,Latvia,North Macedonia,0,2,UEFA Euro qualification,-2,0,1
492,2019-09-09,Scotland,Belgium,0,4,UEFA Euro qualification,-4,0,1
493,2019-09-09,Russia,Kazakhstan,1,0,UEFA Euro qualification,1,1,0
494,2019-09-09,San Marino,Cyprus,0,4,UEFA Euro qualification,-4,0,1
495,2019-09-10,Argentina,Mexico,4,0,Friendly,4,1,0
496,2019-09-10,Brazil,Peru,0,1,Friendly,-1,0,1
498,2019-09-10,Ecuador,Bolivia,3,0,Friendly,3,1,0
499,2019-09-10,Honduras,Chile,2,1,Friendly,1,1,0
500,2019-09-10,Ivory Coast,Tunisia,2,1,Friendly,1,1,0
501,2019-09-10,Jordan,Paraguay,2,4,Friendly,-2,0,1
502,2019-09-10,Morocco,Niger,1,0,Friendly,1,1,0
503,2019-09-10,Oman,Lebanon,1,0,Friendly,1,1,0
504,2019-09-10,Republic of Ireland,Bulgaria,3,1,Friendly,2,1,0
505,2019-09-10,Ukraine,Nigeria,2,2,Friendly,0,0,1
506,2019-09-10,United States,Uruguay,1,1,Friendly,0,0,1
507,2019-09-10,England,Kosovo,5,3,UEFA Euro qualification,2,1,0
508,2019-09-10,Montenegro,Czech Republic,0,3,UEFA Euro qualification,-3,0,1
509,2019-09-10,Luxembourg,Serbia,1,3,UEFA Euro qualification,-2,0,1
510,2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,-4,0,1
511,2019-09-10,Albania,Iceland,4,2,UEFA Euro qualification,2,1,0
512,2019-09-10,France,Andorra,3,0,UEFA Euro qualification,3,1,0
513,2019-09-10,Moldova,Turkey,0,4,UEFA Euro qualification,-4,0,1
514,2019-09-10,Guam,Philippines,1,4,FIFA World Cup qualification,-3,0,1
515,2019-09-10,Maldives,China PR,0,5,FIFA World Cup qualification,-5,0,1
516,2019-09-10,Kuwait,Australia,0,3,FIFA World Cup qualification,-3,0,1
517,2019-09-10,Taiwan,Nepal,0,2,FIFA World Cup qualification,-2,0,1
518,2019-09-10,Cambodia,Bahrain,0,1,FIFA World Cup qualification,-1,0,1
519,2019-09-10,Hong Kong,Iran,0,2,FIFA World Cup qualification,-2,0,1
520,2019-09-10,Yemen,Saudi Arabia,2,2,FIFA World Cup qualification,0,0,1
521,2019-09-10,Singapore,Palestine,2,1,FIFA World Cup qualification,1,1,0
522,2019-09-10,Afghanistan,Bangladesh,1,0,FIFA World Cup qualification,1,1,0
524,2019-09-10,Mongolia,Tajikistan,0,1,FIFA World Cup qualification,-1,0,1
525,2019-09-10,Myanmar,Japan,0,2,FIFA World Cup qualification,-2,0,1
526,2019-09-10,Indonesia,Thailand,0,3,FIFA World Cup qualification,-3,0,1
527,2019-09-10,Malaysia,United Arab Emirates,1,2,FIFA World Cup qualification,-1,0,1
528,2019-09-10,Turkmenistan,South Korea,0,2,FIFA World Cup qualification,-2,0,1
529,2019-09-10,Sri Lanka,North Korea,0,1,FIFA World Cup qualification,-1,0,1
530,2019-09-10,Angola,Gambia,2,1,FIFA World Cup qualification,1,1,0
531,2019-09-10,Guinea-Bissau,São Tomé and Príncipe,2,1,FIFA World Cup qualification,1,1,0
532,2019-09-10,Malawi,Botswana,1,0,FIFA World Cup qualification,1,1,0
533,2019-09-10,Mozambique,Mauritius,2,0,FIFA World Cup qualification,2,1,0
534,2019-09-10,Namibia,Eritrea,2,0,FIFA World Cup qualification,2,1,0
535,2019-09-10,Rwanda,Seychelles,7,0,FIFA World Cup qualification,7,1,0
538,2019-09-10,Togo,Comoros,2,0,FIFA World Cup qualification,2,1,0
539,2019-09-10,Zimbabwe,Somalia,3,1,FIFA World Cup qualification,2,1,0
540,2019-09-18,DR Congo,Rwanda,2,3,Friendly,-1,0,1
541,2019-09-29,Bangladesh,Bhutan,4,1,Friendly,3,1,0
543,2019-10-02,Mexico,Trinidad and Tobago,2,0,Friendly,2,1,0
544,2019-10-03,Bangladesh,Bhutan,2,0,Friendly,2,1,0
546,2019-10-05,Malaysia,Sri Lanka,6,0,Friendly,6,1,0
547,2019-10-09,Djibouti,Gambia,1,1,African Cup of Nations qualification,0,0,1
548,2019-10-09,Liberia,Chad,1,0,African Cup of Nations qualification,1,1,0
549,2019-10-09,Mauritius,São Tomé and Príncipe,1,3,African Cup of Nations qualification,-2,0,1
550,2019-10-09,South Sudan,Seychelles,2,1,African Cup of Nations qualification,1,1,0
551,2019-10-09,Bahrain,Azerbaijan,2,3,Friendly,-1,0,1
552,2019-10-09,Germany,Argentina,2,2,Friendly,0,0,1
554,2019-10-10,Netherlands,Northern Ireland,3,1,UEFA Euro qualification,2,1,0
555,2019-10-10,Croatia,Hungary,3,0,UEFA Euro qualification,3,1,0
556,2019-10-10,Slovakia,Wales,1,1,UEFA Euro qualification,0,0,1
557,2019-10-10,Austria,Israel,3,1,UEFA Euro qualification,2,1,0
558,2019-10-10,North Macedonia,Slovenia,2,1,UEFA Euro qualification,1,1,0
559,2019-10-10,Latvia,Poland,0,3,UEFA Euro qualification,-3,0,1
560,2019-10-10,Kazakhstan,Cyprus,1,2,UEFA Euro qualification,-1,0,1
561,2019-10-10,Belgium,San Marino,9,0,UEFA Euro qualification,9,1,0
562,2019-10-10,Russia,Scotland,4,0,UEFA Euro qualification,4,1,0
563,2019-10-10,Algeria,DR Congo,1,1,Friendly,0,0,1
564,2019-10-10,Brazil,Senegal,1,1,Friendly,0,0,1
565,2019-10-10,Cape Verde,Togo,2,1,Friendly,1,1,0
566,2019-10-10,Gabon,Burkina Faso,1,0,Friendly,1,1,0
567,2019-10-10,Kosovo,Gibraltar,1,0,Friendly,1,1,0
568,2019-10-10,Niger,Zambia,1,1,Friendly,0,0,1
569,2019-10-10,Serbia,Paraguay,1,0,Friendly,1,1,0
570,2019-10-10,Thailand,Congo,1,1,Friendly,0,0,1
571,2019-10-10,Venezuela,Bolivia,4,1,Friendly,3,1,0
572,2019-10-10,Syria,Maldives,2,1,FIFA World Cup qualification,1,1,0
573,2019-10-10,China PR,Guam,7,0,FIFA World Cup qualification,7,1,0
575,2019-10-10,Australia,Nepal,5,0,FIFA World Cup qualification,5,1,0
576,2019-10-10,Iran,Cambodia,14,0,FIFA World Cup qualification,14,1,0
577,2019-10-10,Iraq,Hong Kong,2,0,FIFA World Cup qualification,2,1,0
578,2019-10-10,Uzbekistan,Yemen,5,0,FIFA World Cup qualification,5,1,0
579,2019-10-10,Saudi Arabia,Singapore,3,0,FIFA World Cup qualification,3,1,0
580,2019-10-10,Bangladesh,Qatar,0,2,FIFA World Cup qualification,-2,0,1
581,2019-10-10,Oman,Afghanistan,3,0,FIFA World Cup qualification,3,1,0
582,2019-10-10,Japan,Mongolia,6,0,FIFA World Cup qualification,6,1,0
583,2019-10-10,Kyrgyzstan,Myanmar,7,0,FIFA World Cup qualification,7,1,0
584,2019-10-10,United Arab Emirates,Indonesia,5,0,FIFA World Cup qualification,5,1,0
585,2019-10-10,Vietnam,Malaysia,1,0,FIFA World Cup qualification,1,1,0
586,2019-10-10,Lebanon,Turkmenistan,2,1,FIFA World Cup qualification,1,1,0
587,2019-10-10,South Korea,Sri Lanka,8,0,FIFA World Cup qualification,8,1,0
588,2019-10-11,Czech Republic,England,2,1,UEFA Euro qualification,1,1,0
590,2019-10-11,Portugal,Luxembourg,3,0,UEFA Euro qualification,3,1,0
591,2019-10-11,Ukraine,Lithuania,2,0,UEFA Euro qualification,2,1,0
592,2019-10-11,Iceland,France,0,1,UEFA Euro qualification,-1,0,1
593,2019-10-11,Andorra,Moldova,1,0,UEFA Euro qualification,1,1,0
594,2019-10-11,Turkey,Albania,1,0,UEFA Euro qualification,1,1,0
595,2019-10-11,Morocco,Libya,1,1,Friendly,0,0,1
596,2019-10-11,Uruguay,Peru,1,0,Friendly,1,1,0
598,2019-10-12,Denmark,Switzerland,1,0,UEFA Euro qualification,1,1,0
599,2019-10-12,Faroe Islands,Romania,0,3,UEFA Euro qualification,-3,0,1
600,2019-10-12,Malta,Sweden,0,4,UEFA Euro qualification,-4,0,1
601,2019-10-12,Norway,Spain,1,1,UEFA Euro qualification,0,0,1
602,2019-10-12,Bosnia and Herzegovina,Finland,4,1,UEFA Euro qualification,3,1,0
603,2019-10-12,Italy,Greece,2,0,UEFA Euro qualification,2,1,0
604,2019-10-12,Liechtenstein,Armenia,1,1,UEFA Euro qualification,0,0,1
606,2019-10-12,Guinea,Comoros,0,1,Friendly,-1,0,1
607,2019-10-12,Ivory Coast,DR Congo,3,1,Friendly,2,1,0
609,2019-10-13,Belarus,Netherlands,1,2,UEFA Euro qualification,-1,0,1
610,2019-10-13,Estonia,Germany,0,3,UEFA Euro qualification,-3,0,1
611,2019-10-13,Hungary,Azerbaijan,1,0,UEFA Euro qualification,1,1,0
612,2019-10-13,Wales,Croatia,1,1,UEFA Euro qualification,0,0,1
613,2019-10-13,Poland,North Macedonia,2,0,UEFA Euro qualification,2,1,0
614,2019-10-13,Slovenia,Austria,0,1,UEFA Euro qualification,-1,0,1
615,2019-10-13,Scotland,San Marino,6,0,UEFA Euro qualification,6,1,0
616,2019-10-13,Cyprus,Russia,0,5,UEFA Euro qualification,-5,0,1
617,2019-10-13,Kazakhstan,Belgium,0,2,UEFA Euro qualification,-2,0,1
618,2019-10-13,Gambia,Djibouti,1,1,African Cup of Nations qualification,0,0,1
619,2019-10-13,Chad,Liberia,1,0,African Cup of Nations qualification,1,1,0
620,2019-10-13,São Tomé and Príncipe,Mauritius,2,1,African Cup of Nations qualification,1,1,0
621,2019-10-13,Seychelles,South Sudan,0,1,African Cup of Nations qualification,-1,0,1
622,2019-10-13,Benin,Zambia,2,2,Friendly,0,0,1
623,2019-10-13,Brazil,Nigeria,1,1,Friendly,0,0,1
624,2019-10-13,Ecuador,Argentina,1,6,Friendly,-5,0,1
625,2019-10-13,Equatorial Guinea,Togo,1,1,Friendly,0,0,1
626,2019-10-13,Ethiopia,Uganda,0,1,Friendly,-1,0,1
627,2019-10-13,Kenya,Mozambique,0,1,Friendly,-1,0,1
628,2019-10-13,Lesotho,Malawi,1,1,Friendly,0,0,1
629,2019-10-13,Niger,Central African Republic,0,2,Friendly,-2,0,1
630,2019-10-13,Slovakia,Paraguay,1,1,Friendly,0,0,1
631,2019-10-13,South Africa,Mali,2,1,Friendly,1,1,0
632,2019-10-14,Kosovo,Montenegro,2,0,UEFA Euro qualification,2,1,0
633,2019-10-14,Bulgaria,England,0,6,UEFA Euro qualification,-6,0,1
634,2019-10-14,Lithuania,Serbia,1,2,UEFA Euro qualification,-1,0,1
635,2019-10-14,Ukraine,Portugal,2,1,UEFA Euro qualification,1,1,0
636,2019-10-14,Iceland,Andorra,2,0,UEFA Euro qualification,2,1,0
637,2019-10-14,France,Turkey,1,1,UEFA Euro qualification,0,0,1
638,2019-10-14,Moldova,Albania,0,4,UEFA Euro qualification,-4,0,1
639,2019-10-14,Czech Republic,Northern Ireland,2,3,Friendly,-1,0,1
640,2019-10-14,Egypt,Botswana,1,0,Friendly,1,1,0
642,2019-10-14,Venezuela,Trinidad and Tobago,2,0,Friendly,2,1,0
643,2019-10-15,Gibraltar,Georgia,2,3,UEFA Euro qualification,-1,0,1
644,2019-10-15,Switzerland,Republic of Ireland,2,0,UEFA Euro qualification,2,1,0
645,2019-10-15,Faroe Islands,Malta,1,0,UEFA Euro qualification,1,1,0
646,2019-10-15,Sweden,Spain,1,1,UEFA Euro qualification,0,0,1
647,2019-10-15,Romania,Norway,1,1,UEFA Euro qualification,0,0,1
648,2019-10-15,Israel,Latvia,3,1,UEFA Euro qualification,2,1,0
649,2019-10-15,Finland,Armenia,3,0,UEFA Euro qualification,3,1,0
650,2019-10-15,Liechtenstein,Italy,0,5,UEFA Euro qualification,-5,0,1
651,2019-10-15,Greece,Bosnia and Herzegovina,2,1,UEFA Euro qualification,1,1,0
652,2019-10-15,Algeria,Colombia,3,0,Friendly,3,1,0
654,2019-10-15,Bolivia,Haiti,3,1,Friendly,2,1,0
655,2019-10-15,Chile,Guinea,3,2,Friendly,1,1,0
656,2019-10-15,Denmark,Luxembourg,4,0,Friendly,4,1,0
657,2019-10-15,Kuwait,Turkmenistan,1,1,Friendly,0,0,1
659,2019-10-15,Morocco,Gabon,2,3,Friendly,-1,0,1
660,2019-10-15,Peru,Uruguay,1,1,Friendly,0,0,1
661,2019-10-15,Syria,Guam,4,0,FIFA World Cup qualification,4,1,0
663,2019-10-15,Jordan,Nepal,3,0,FIFA World Cup qualification,3,1,0
664,2019-10-15,Taiwan,Australia,1,7,FIFA World Cup qualification,-6,0,1
665,2019-10-15,Cambodia,Iraq,0,4,FIFA World Cup qualification,-4,0,1
666,2019-10-15,Bahrain,Iran,1,0,FIFA World Cup qualification,1,1,0
668,2019-10-15,Singapore,Uzbekistan,1,3,FIFA World Cup qualification,-2,0,1
669,2019-10-15,India,Bangladesh,1,1,FIFA World Cup qualification,0,0,1
670,2019-10-15,Qatar,Oman,2,1,FIFA World Cup qualification,1,1,0
671,2019-10-15,Mongolia,Kyrgyzstan,1,2,FIFA World Cup qualification,-1,0,1
672,2019-10-15,Tajikistan,Japan,0,3,FIFA World Cup qualification,-3,0,1
673,2019-10-15,Thailand,United Arab Emirates,2,1,FIFA World Cup qualification,1,1,0
674,2019-10-15,Indonesia,Vietnam,1,3,FIFA World Cup qualification,-2,0,1
676,2019-10-15,Sri Lanka,Lebanon,0,3,FIFA World Cup qualification,-3,0,1
677,2019-11-07,Egypt,Liberia,1,0,Friendly,1,1,0
679,2019-11-09,Malaysia,Tajikistan,1,0,Friendly,1,1,0
680,2019-11-09,Namibia,Zambia,0,2,Friendly,-2,0,1
681,2019-11-09,Uzbekistan,Kyrgyzstan,3,1,Friendly,2,1,0
682,2019-11-10,Nicaragua,Cuba,0,1,Friendly,-1,0,1
683,2019-11-10,Trinidad and Tobago,Anguilla,15,0,Friendly,15,1,0
684,2019-11-13,Namibia,Chad,2,1,African Cup of Nations qualification,1,1,0
685,2019-11-13,Malawi,South Sudan,1,0,African Cup of Nations qualification,1,1,0
687,2019-11-13,Sudan,São Tomé and Príncipe,4,0,African Cup of Nations qualification,4,1,0
688,2019-11-13,Angola,Gambia,1,3,African Cup of Nations qualification,-2,0,1
689,2019-11-13,Central African Republic,Burundi,2,0,African Cup of Nations qualification,2,1,0
691,2019-11-13,Guinea-Bissau,Eswatini,3,0,African Cup of Nations qualification,3,1,0
692,2019-11-13,Senegal,Congo,2,0,African Cup of Nations qualification,2,1,0
693,2019-11-13,Nigeria,Benin,2,1,African Cup of Nations qualification,1,1,0
694,2019-11-13,Sierra Leone,Lesotho,1,1,African Cup of Nations qualification,0,0,1
695,2019-11-14,Mali,Guinea,2,2,African Cup of Nations qualification,0,0,1
696,2019-11-14,Ghana,South Africa,2,0,African Cup of Nations qualification,2,1,0
698,2019-11-14,Mozambique,Rwanda,2,0,African Cup of Nations qualification,2,1,0
699,2019-11-14,Egypt,Kenya,1,1,African Cup of Nations qualification,0,0,1
700,2019-11-14,Togo,Comoros,0,1,African Cup of Nations qualification,-1,0,1
701,2019-11-14,Algeria,Zambia,5,0,African Cup of Nations qualification,5,1,0
702,2019-11-14,England,Montenegro,7,0,UEFA Euro qualification,7,1,0
703,2019-11-14,Czech Republic,Kosovo,2,1,UEFA Euro qualification,1,1,0
704,2019-11-14,Portugal,Lithuania,6,0,UEFA Euro qualification,6,1,0
705,2019-11-14,Serbia,Luxembourg,3,2,UEFA Euro qualification,1,1,0
707,2019-11-14,Albania,Andorra,2,2,UEFA Euro qualification,0,0,1
708,2019-11-14,France,Moldova,2,1,UEFA Euro qualification,1,1,0
709,2019-11-14,Bulgaria,Paraguay,0,1,Friendly,-1,0,1
710,2019-11-14,Cambodia,Mongolia,1,1,Friendly,0,0,1
711,2019-11-14,Ecuador,Trinidad and Tobago,3,0,Friendly,3,1,0
712,2019-11-14,Qatar,Singapore,2,0,Friendly,2,1,0
713,2019-11-14,Republic of Ireland,New Zealand,3,1,Friendly,2,1,0
714,2019-11-14,Ukraine,Estonia,1,0,Friendly,1,1,0
715,2019-11-14,Maldives,Philippines,1,2,FIFA World Cup qualification,-1,0,1
716,2019-11-14,Syria,China PR,2,1,FIFA World Cup qualification,1,1,0
717,2019-11-14,Jordan,Australia,0,1,FIFA World Cup qualification,-1,0,1
718,2019-11-14,Kuwait,Taiwan,9,0,FIFA World Cup qualification,9,1,0
719,2019-11-14,Iraq,Iran,2,1,FIFA World Cup qualification,1,1,0
721,2019-11-14,Uzbekistan,Saudi Arabia,2,3,FIFA World Cup qualification,-1,0,1
722,2019-11-14,Yemen,Palestine,1,0,FIFA World Cup qualification,1,1,0
723,2019-11-14,Afghanistan,India,1,1,FIFA World Cup qualification,0,0,1
724,2019-11-14,Oman,Bangladesh,4,1,FIFA World Cup qualification,3,1,0
725,2019-11-14,Myanmar,Tajikistan,4,3,FIFA World Cup qualification,1,1,0
726,2019-11-14,Kyrgyzstan,Japan,0,2,FIFA World Cup qualification,-2,0,1
727,2019-11-14,Vietnam,United Arab Emirates,1,0,FIFA World Cup qualification,1,1,0
728,2019-11-14,Malaysia,Thailand,2,1,FIFA World Cup qualification,1,1,0
730,2019-11-14,Turkmenistan,North Korea,3,1,FIFA World Cup qualification,2,1,0
733,2019-11-15,Tanzania,Equatorial Guinea,2,1,African Cup of Nations qualification,1,1,0
734,2019-11-15,Tunisia,Libya,4,1,African Cup of Nations qualification,3,1,0
735,2019-11-15,Denmark,Gibraltar,6,0,UEFA Euro qualification,6,1,0
736,2019-11-15,Switzerland,Georgia,1,0,UEFA Euro qualification,1,1,0
737,2019-11-15,Norway,Faroe Islands,4,0,UEFA Euro qualification,4,1,0
738,2019-11-15,Spain,Malta,7,0,UEFA Euro qualification,7,1,0
739,2019-11-15,Romania,Sweden,0,2,UEFA Euro qualification,-2,0,1
740,2019-11-15,Finland,Liechtenstein,3,0,UEFA Euro qualification,3,1,0
741,2019-11-15,Bosnia and Herzegovina,Italy,0,3,UEFA Euro qualification,-3,0,1
742,2019-11-15,Armenia,Greece,0,1,UEFA Euro qualification,-1,0,1
743,2019-11-15,Colombia,Peru,1,0,Friendly,1,1,0
744,2019-11-15,Hungary,Uruguay,1,2,Friendly,-1,0,1
745,2019-11-16,Ivory Coast,Niger,1,0,African Cup of Nations qualification,1,1,0
746,2019-11-16,Madagascar,Ethiopia,1,0,African Cup of Nations qualification,1,1,0
748,2019-11-16,Germany,Belarus,4,0,UEFA Euro qualification,4,1,0
749,2019-11-16,Croatia,Slovakia,3,1,UEFA Euro qualification,2,1,0
750,2019-11-16,Azerbaijan,Wales,0,2,UEFA Euro qualification,-2,0,1
751,2019-11-16,Slovenia,Latvia,1,0,UEFA Euro qualification,1,1,0
752,2019-11-16,Austria,North Macedonia,2,1,UEFA Euro qualification,1,1,0
753,2019-11-16,Israel,Poland,1,2,UEFA Euro qualification,-1,0,1
754,2019-11-16,Cyprus,Scotland,1,2,UEFA Euro qualification,-1,0,1
755,2019-11-16,San Marino,Kazakhstan,1,3,UEFA Euro qualification,-2,0,1
756,2019-11-16,Russia,Belgium,1,4,UEFA Euro qualification,-3,0,1
757,2019-11-17,Chad,Mali,0,2,African Cup of Nations qualification,-2,0,1
758,2019-11-17,Guinea,Namibia,2,0,African Cup of Nations qualification,2,1,0
759,2019-11-17,South Sudan,Burkina Faso,1,2,African Cup of Nations qualification,-1,0,1
760,2019-11-17,Uganda,Malawi,2,0,African Cup of Nations qualification,2,1,0
761,2019-11-17,South Africa,Sudan,1,0,African Cup of Nations qualification,1,1,0
762,2019-11-17,Gabon,Angola,2,1,African Cup of Nations qualification,1,1,0
763,2019-11-17,Rwanda,Cameroon,0,1,African Cup of Nations qualification,-1,0,1
764,2019-11-17,Congo,Guinea-Bissau,3,0,African Cup of Nations qualification,3,1,0
765,2019-11-17,Eswatini,Senegal,1,4,African Cup of Nations qualification,-3,0,1
766,2019-11-17,Benin,Sierra Leone,1,0,African Cup of Nations qualification,1,1,0
767,2019-11-17,Lesotho,Nigeria,2,4,African Cup of Nations qualification,-2,0,1
768,2019-11-17,Kosovo,England,0,4,UEFA Euro qualification,-4,0,1
